83,116,1011
93,137,1014
136,138,1012
159,148,1012
158,151,1009
150,146,1014
162,152,1012
160,154,1010
151,148,1013
162,153,1010
159,153,1011
152,147,1011
161,154,1012
160,153,1012
150,146,1012
162,154,1012
159,153,1013
150,147,1010
162,154,1012
156,153,1011
151,147,1009
163,155,1010
159,154,1011
150,148,1011
163,155,1012
160,154,1012
151,148,1012
162,155,1014
162,156,1013
153,149,1010
162,154,1012
157,152,1012
151,148,1013
163,153,1013
159,152,1013
150,146,1010
163,154,1010
152,152,1012
153,147,1016
158,152,1011
162,154,1011
150,146,1012
160,152,1013
162,155,1012
151,149,1011
156,151,1014
162,155,1011
154,149,1013
155,151,1012
162,153,1010
149,147,1014
160,151,1011
162,153,1012
150,147,1011
160,153,1011
165,154,1012
152,147,1011
159,152,1013
164,154,1013
147,146,1013
165,154,1011
162,155,1013
150,145,1012
161,155,1013
162,154,1015
151,147,1011
159,152,1011
162,153,1014
151,148,1010
162,154,1012
161,153,1012
149,146,1013
162,153,1015
162,155,1014
151,152,1012
147,145,1013
163,154,1012
161,154,1012
148,146,1012
162,153,1013
160,152,1013
150,146,1013
163,155,1012
161,153,1013
148,147,1010
162,154,1012
161,153,1012
149,147,1013
160,155,1010
158,151,1010
150,146,1012
163,154,1012
159,153,1012
149,145,1011
161,153,1012
160,152,1012
149,146,1012
161,155,1013
156,152,1012
150,147,1009
163,156,1012
159,152,1012
148,147,1012
162,155,1014
161,154,1012
148,146,1014
163,153,1014
160,154,1011
148,147,1012
162,156,1011
150,152,1013
150,149,1011
154,150,1011
163,155,1010
156,150,1011
151,148,1014
161,153,1014
159,151,1014
155,151,1010
163,155,1010
154,149,1012
155,151,1010
164,156,1012
155,150,1012
152,150,1012
164,155,1012
157,151,1013
149,147,1012
161,155,1011
149,147,1014
157,151,1012
161,155,1011
151,149,1013
155,149,1012
162,154,1012
154,149,1014
154,148,1014
162,155,1012
147,145,1012
161,153,1013
161,155,1011
150,146,1009
158,152,1009
161,153,1011
151,149,1011
154,150,1011
159,155,1012
71,141,1013
131,144,1010
145,148,1011
